date,l_ipn,f,rolling_mean,rolling_std,upper_limit,anomaly,lag_1,lag_3,lag_7,pct_change,rolling_max,rolling_min,momentum,deviation_from_mean,z_score,anomaly_int,consecutive_anomalies,day_of_week,is_weekend,anomaly_isoforest,risk_score
2006-09-14,8,550,1188.857142857143,1592.980584582606,4374.818312022355,False,565.0,1132.0,1244.0,-0.026548672566371723,4724.0,17.0,-15.0,-638.8571428571429,-0.4010451508510289,0,0.0,3,0,0,0.14700297093945303
2006-09-15,8,271,552.7142857142857,350.71484821989407,1254.143982154074,False,550.0,597.0,4724.0,-0.5072727272727273,1132.0,17.0,-279.0,-281.71428571428567,-0.8032573445680883,0,0.0,4,0,0,0.4079582524170127
2006-09-16,8,1156,612.5714285714286,416.91680110978683,1446.4050307910022,False,271.0,565.0,737.0,3.265682656826568,1156.0,17.0,885.0,543.4285714285714,1.3034460519402522,0,0.0,5,1,0,1.2726267823857302
2006-09-17,8,365,662.2857142857143,349.3335150853741,1360.9527444564624,False,1156.0,550.0,17.0,-0.6842560553633218,1156.0,271.0,-791.0,-297.28571428571433,-0.85100825697465,0,0.0,6,1,0,0.46891690378195794
2006-09-18,8,610,587.7142857142857,281.47807154715144,1150.6704288085884,False,365.0,271.0,1132.0,0.6712328767123288,1156.0,271.0,245.0,22.285714285714334,0.07917388864958984,0,0.0,0,0,0,0.19551908020543862
2006-09-19,8,1803,760.0,539.2024975214152,1838.4049950428305,False,610.0,1156.0,597.0,1.955737704918033,1803.0,271.0,1193.0,1043.0,1.9343381854702812,0,0.0,1,0,0,1.1659527911441065
2006-09-20,8,9573,2046.857142857143,3361.134998209753,8769.127139276648,True,1803.0,365.0,565.0,4.309484193011647,9573.0,271.0,7770.0,7526.142857142857,2.2391670786088174,1,1.0,2,0,1,2.261079525765998
2006-09-21,8,390,2024.0,3373.5319770234873,8771.063954046975,False,9573.0,610.0,550.0,-0.9592604199310562,9573.0,271.0,-9183.0,-1634.0,-0.48435882816149023,0,1.0,3,0,1,0.8093406948392856
2006-09-22,8,1037,2133.4285714285716,3319.177752453302,8771.784076335176,False,390.0,1803.0,271.0,1.6589743589743589,9573.0,365.0,647.0,-1096.4285714285716,-0.33033138020850344,0,1.0,4,0,0,0.7803595728165659
2006-09-23,8,2151,2275.5714285714284,3291.53347530412,8858.638379179669,False,1037.0,9573.0,1156.0,1.0742526518804243,9573.0,365.0,1114.0,-124.57142857142844,-0.03784601588518207,0,0.0,5,1,0,0.2818092685299198
2006-09-24,8,713,2325.285714285714,3260.347666240811,8845.981046767336,False,2151.0,390.0,365.0,-0.6685262668526266,9573.0,390.0,-1438.0,-1612.2857142857142,-0.4945134305874653,0,0.0,6,1,0,0.3402112674187695
2006-09-25,8,685,2336.0,3253.888186974674,8843.77637394935,False,713.0,1037.0,610.0,-0.03927068723702665,9573.0,390.0,-28.0,-1651.0,-0.5073929711337436,0,0.0,0,0,0,0.18740521170606692
2006-09-26,8,531,2154.285714285714,3323.38997181521,8801.065657916135,False,685.0,2151.0,1803.0,-0.2248175182481752,9573.0,390.0,-154.0,-1623.2857142857142,-0.4884427416487209,0,0.0,1,0,0,0.2271593391390961
2006-09-27,8,881,912.5714285714286,586.0147487173722,2084.600926006173,False,531.0,713.0,9573.0,0.6591337099811676,2151.0,390.0,350.0,-31.571428571428555,-0.05387480110659649,0,0.0,2,0,0,0.18363960788260067
2006-09-28,8,452,921.4285714285714,577.2024073473865,2075.8333861233446,False,881.0,685.0,390.0,-0.4869466515323496,2151.0,452.0,-429.0,-469.42857142857144,-0.8132824072114864,0,0.0,3,0,0,0.4063855054071076
2006-09-29,8,11426,2405.5714285714284,4018.9733289793826,10443.518086530194,True,452.0,531.0,1037.0,24.278761061946902,11426.0,452.0,10974.0,9020.428571428572,2.2444609134230555,1,1.0,4,0,1,7.255251585184795
2006-09-30,8,3382,2581.4285714285716,4032.885768162498,10647.200107753568,False,11426.0,881.0,2151.0,-0.7040084018904254,11426.0,452.0,-8044.0,800.5714285714284,0.19851081151526995,0,1.0,5,1,1,0.6454808845029508
2006-07-08,9,1758,1333.4285714285713,1129.4039515223442,3592.2364744732595,False,3136.0,1910.0,1463.0,-0.43941326530612246,3136.0,5.0,-1378.0,424.57142857142867,0.3759252163407866,0,0.0,5,1,0,0.24142714204580593
2006-07-09,9,5,1333.4285714285713,1129.4039515223442,3592.2364744732595,False,1758.0,1680.0,5.0,-0.997155858930603,3136.0,5.0,-1753.0,-1328.4285714285713,-1.1762209242102872,0,0.0,6,1,0,0.6609662882062513
2006-07-10,9,2169,1523.4285714285713,1144.1401221212457,3811.7088156710624,False,5.0,3136.0,839.0,432.8,3136.0,5.0,2164.0,645.5714285714287,0.5642415736038676,0,0.0,0,0,0,108.39748455076136
2006-07-11,9,1158,1688.0,957.0529417609736,3602.1058835219474,False,2169.0,1758.0,6.0,-0.4661134163208852,3136.0,5.0,-1011.0,-530.0,-0.5537833607062203,0,0.0,1,0,0,0.3103525303273984
2006-07-12,9,118,1432.0,1114.4928592563226,3660.9857185126452,False,1158.0,5.0,1910.0,-0.8981001727115717,3136.0,5.0,-1040.0,-1314.0,-1.1790115811838295,0,0.0,2,0,0,0.6371790965922333
2006-07-13,9,5,1192.7142857142858,1226.5525826866283,3645.8194510875423,False,118.0,2169.0,1680.0,-0.9576271186440678,3136.0,5.0,-113.0,-1187.7142857142858,-0.9683353920541871,0,0.0,3,0,0,0.5783241668799824
2006-07-14,9,5,745.4285714285714,936.3441064663599,2618.116784361291,False,5.0,1158.0,3136.0,0.0,2169.0,5.0,0.0,-740.4285714285714,-0.7907654444637854,0,0.0,4,0,0,0.2767679055623249
